data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_336,Thulin et al 2025 Animals,inside vs outside exclosure,"Krusenberg estate, property of the Swedish University of Agricultural Sciences (SLU) near Uppsala, Sweden",0.35,Equus ferus caballus,300,Horse,105
dp_337,Thulin et al 2025 Animals,inside vs outside exclosure,"Krusenberg estate, property of the Swedish University of Agricultural Sciences (SLU) near Uppsala, Sweden",0.35,Equus ferus caballus,300,Horse,105
dp_341,Garrido et al 2020 Ambio,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_342,Barber et al 2019 Natural Areas Journal,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_343,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_344,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_345,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_346,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_347,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_348,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_349,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_350,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_351,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_352,Garrido et al 2019 Journal of Applied Ecology,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_353,McMillan et al 2028 Restoration Ecology,distal comparison with and without,"Box elder creek, American Prairie Reserve",0.05,Bison bison,579.2553,American Bison,28.962765
dp_354,McMillan et al 2028 Restoration Ecology,distal comparison with and without,"Box elder creek, American Prairie Reserve",0.05,Bison bison,579.2553,American Bison,28.962765
dp_355,McMillan et al 2028 Restoration Ecology,distal comparison with and without,"Box elder creek, American Prairie Reserve",0.05,Bison bison,579.2553,American Bison,28.962765
dp_356,McMillan et al 2028 Restoration Ecology,distal comparison with and without,"Box elder creek, American Prairie Reserve",0.05,Bison bison,579.2553,American Bison,28.962765
dp_412,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_412,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_413,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_413,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
