Database,Area,QS_Subject_Area,Subject,ASJC_Code,Restrictive_exclusion
ASJC (Scopus),Engineering and Technology,"Engineering - Mechanical, Aeronautical and Manufacturing",Mechanics of Materials,2211,Exclude
ASJC (Scopus),Engineering and Technology,Engineering and Technology,Decision Sciences (all),1800,Exclude
ASJC (Scopus),Engineering and Technology,Engineering and Technology,Decision Sciences (miscellaneous),1801,Exclude
ASJC (Scopus),Arts and Humanities,English Language and Literature,Literature and Literary Theory,1208,Exclude
ASJC (Scopus),Engineering and Technology,Environmental Sciences,Ecological Modeling,2302,
ASJC (Scopus),Engineering and Technology,Environmental Sciences,Environmental Engineering,2305,
ASJC (Scopus),Engineering and Technology,Environmental Sciences,Environmental Science (all),2300,
ASJC (Scopus),Engineering and Technology,Environmental Sciences,Environmental Science (miscellaneous),2301,
ASJC (Scopus),Engineering and Technology,Environmental Sciences,Global and Planetary Change,2306,
ASJC (Scopus),Engineering and Technology,Environmental Sciences,Water Science and Technology,2312,
ASJC (Scopus),Life Sciences and Medicine,Environmental Sciences,"Health, Toxicology and Mutagenesis",2307,Exclude
ASJC (Scopus),Natural Sciences,Environmental Sciences,Ecology,2303,
ASJC (Scopus),Natural Sciences,Environmental Sciences,Environmental Chemistry,2304,Exclude
ASJC (Scopus),Social Sciences and Management,Environmental Sciences,"Management, Monitoring, Policy and Law",2308,
ASJC (Scopus),Social Sciences and Management,Environmental Sciences,Nature and Landscape Conservation,2309,
ASJC (Scopus),Social Sciences and Management,Environmental Sciences,Pollution,2310,
ASJC (Scopus),Social Sciences and Management,Environmental Sciences,Waste Management and Disposal,2311,Exclude
ASJC (Scopus),Social Sciences and Management,Geography and Area Studies,Demography,3317,
ASJC (Scopus),Social Sciences and Management,Geography and Area Studies,"Geography, Planning and Development",3305,
ASJC (Scopus),Natural Sciences,Geology,Atmospheric Science,1902,Exclude
ASJC (Scopus),Natural Sciences,Geology,Earth and Planetary Sciences (all),1900,
ASJC (Scopus),Natural Sciences,Geology,Earth and Planetary Sciences (miscellaneous),1901,
ASJC (Scopus),Natural Sciences,Geology,Earth-Surface Processes,1904,
ASJC (Scopus),Natural Sciences,Geology,Economic Geology,1905,
ASJC (Scopus),Natural Sciences,Geology,Geology,1907,
ASJC (Scopus),Natural Sciences,Geology,Geotechnical Engineering and Engineering Geology,1909,
ASJC (Scopus),Natural Sciences,Geology,Oceanography,1910,
ASJC (Scopus),Natural Sciences,Geology,Paleontology,1911,
ASJC (Scopus),Natural Sciences,Geology,Space and Planetary Science,1912,
ASJC (Scopus),Natural Sciences,Geology,Stratigraphy,1913,Exclude
ASJC (Scopus),Natural Sciences,Geophysics,Atmospheric Science,1902,Exclude
ASJC (Scopus),Natural Sciences,Geophysics,Computers in Earth Sciences,1903,Exclude
ASJC (Scopus),Natural Sciences,Geophysics,Earth and Planetary Sciences (all),1900,
ASJC (Scopus),Natural Sciences,Geophysics,Earth and Planetary Sciences (miscellaneous),1901,
ASJC (Scopus),Natural Sciences,Geophysics,Earth-Surface Processes,1904,
ASJC (Scopus),Natural Sciences,Geophysics,Geophysics,1908,
ASJC (Scopus),Natural Sciences,Geophysics,Geotechnical Engineering and Engineering Geology,1909,
ASJC (Scopus),Natural Sciences,Geophysics,Ocean Engineering,2212,
ASJC (Scopus),Natural Sciences,Geophysics,Space and Planetary Science,1912,
ASJC (Scopus),Arts and Humanities,History,Conservation,1206,
ASJC (Scopus),Arts and Humanities,History,History,1202,Exclude
ASJC (Scopus),Arts and Humanities,History,History and Philosophy of Science,1207,Exclude
ASJC (Scopus),Social Sciences and Management,Hospitality and Leisure Management,"Tourism, Leisure and Hospitality Management",1409,Exclude
ASJC (Scopus),Social Sciences and Management,Law,Law,3308,Exclude
ASJC (Scopus),Social Sciences and Management,Library and Information Management,Library and Information Sciences,3309,Exclude
ASJC (Scopus),Arts and Humanities,Linguistics,Language and Linguistics,1203,Exclude
ASJC (Scopus),Arts and Humanities,Linguistics,Linguistics and Language,3310,Exclude
ASJC (Scopus),Engineering and Technology,Materials Science,Materials Science (all),2500,Exclude
ASJC (Scopus),Engineering and Technology,Materials Science,Materials Science (miscellaneous),2501,Exclude
ASJC (Scopus),Engineering and Technology,Materials Science,Mechanics of Materials,2211,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,Biomaterials,2502,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,Ceramics and Composites,2503,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",2504,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,Materials Chemistry,2505,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,Metals and Alloys,2506,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,Polymers and Plastics,2507,Exclude
ASJC (Scopus),Natural Sciences,Materials Science,"Surfaces, Coatings and Films",2508,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Algebra and Number Theory,2602,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Analysis,2603,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Applied Mathematics,2604,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Computational Mathematics,2605,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Control and Optimization,2606,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Discrete Mathematics and Combinatorics,2607,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Geometry and Topology,2608,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Logic,2609,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Mathematics (all),2600,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Mathematics (miscellaneous),2601,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Modeling and Simulation,2611,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Numerical Analysis,2612,Exclude
ASJC (Scopus),Natural Sciences,Mathematics,Statistics and Probability,2613,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Anatomy,2702,
ASJC (Scopus),Life Sciences and Medicine,Medicine,Anesthesiology and Pain Medicine,2703,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Behavioral Neuroscience,2802,
ASJC (Scopus),Life Sciences and Medicine,Medicine,Biochemistry (medical),2704,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Biological Psychiatry,2803,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Cardiology and Cardiovascular Medicine,2705,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Cellular and Molecular Neuroscience,2804,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Cognitive Neuroscience,2805,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Complementary and Alternative Medicine,2707,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Critical Care and Intensive Care Medicine,2706,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Dermatology,2708,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Developmental Neuroscience,2806,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Drug Guides,2709,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Embryology,2710,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Emergency Medicine,2711,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Endocrine and Autonomic Systems,2807,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,"Endocrinology, Diabetes and Metabolism",2712,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Epidemiology,2713,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Family Practice,2714,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Gastroenterology,2715,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Genetics (clinical),2716,
ASJC (Scopus),Life Sciences and Medicine,Medicine,Geriatrics and Gerontology,2717,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Health Informatics,2718,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Health Policy,2719,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Hematology,2720,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Hepatology,2721,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Histology,2722,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Immunology and Allergy,2723,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Infectious Diseases,2725,
ASJC (Scopus),Life Sciences and Medicine,Medicine,Internal Medicine,2724,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Medicine (all),2700,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Medicine (miscellaneous),2701,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Microbiology (medical),2726,
ASJC (Scopus),Life Sciences and Medicine,Medicine,Molecular Medicine,1313,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Nephrology,2727,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Neurology,2808,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Neurology (clinical),2728,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Neuroscience (all),2800,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Neuroscience (miscellaneous),2801,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Obstetrics and Gynecology,2729,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Oncology,2730,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Ophthalmology,2731,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Orthopedics and Sports Medicine,2732,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Otorhinolaryngology,2733,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Pathology and Forensic Medicine,2734,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,"Pediatrics, Perinatology and Child Health",2735,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Psychiatry and Mental Health,2738,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,"Public Health, Environmental and Occupational Health",2739,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Pulmonary and Respiratory Medicine,2740,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,"Radiology, Nuclear Medicine and Imaging",2741,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Rehabilitation,2742,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Reproductive Medicine,2743,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Reviews and References (medical),2744,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Rheumatology,2745,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Sensory Systems,2809,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Surgery,2746,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Transplantation,2747,Exclude
ASJC (Scopus),Life Sciences and Medicine,Medicine,Urology,2748,Exclude
ASJC (Scopus),Natural Sciences,Mining Engineering,Geochemistry and Petrology,1906,
ASJC (Scopus),Natural Sciences,Mining Engineering,Geology,1907,
ASJC (Scopus),Natural Sciences,Mining Engineering,Geophysics,1908,
ASJC (Scopus),Natural Sciences,Mining Engineering,Geotechnical Engineering and Engineering Geology,1909,
ASJC (Scopus),Natural Sciences,Mining Engineering,Ocean Engineering,2212,
ASJC (Scopus),Life Sciences and Medicine,Nursing,Advanced and Specialized Nursing,2902,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Assessment and Diagnosis,2903,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Care Planning,2904,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Community and Home Care,2905,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Critical Care Nursing,2906,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Emergency Nursing,2907,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Fundamentals and Skills,2908,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Gerontology,2909,Exclude
